@relation data50in

@attribute T1 numeric
@attribute T2 numeric
@attribute T3 numeric
@attribute T4 numeric
@attribute T5 numeric
@attribute T6 numeric
@attribute T7 numeric
@attribute T8 numeric
@attribute T9 numeric
@attribute T10 numeric
@attribute T11 numeric
@attribute T12 numeric
@attribute T13 numeric
@attribute T14 numeric
@attribute T15 numeric
@attribute T16 numeric
@attribute T17 numeric
@attribute T18 numeric
@attribute T19 numeric
@attribute T20 numeric
@attribute T21 numeric
@attribute T22 numeric
@attribute T23 numeric
@attribute T24 numeric
@attribute T25 numeric
@attribute T26 numeric
@attribute T27 numeric
@attribute T28 numeric
@attribute T29 numeric
@attribute T30 numeric
@attribute T31 numeric
@attribute T32 numeric
@attribute T33 numeric
@attribute T34 numeric
@attribute T35 numeric
@attribute T36 numeric
@attribute T37 numeric
@attribute T38 numeric
@attribute T39 numeric
@attribute T40 numeric
@attribute T41 numeric
@attribute T42 numeric
@attribute T43 numeric
@attribute T44 numeric
@attribute T45 numeric
@attribute T46 numeric
@attribute T47 numeric
@attribute T48 numeric
@attribute T49 numeric
@attribute T50 numeric
@attribute RegisterRT numeric

@data
7.691,7.6782,7.7129,7.6795,7.6769,7.727,7.7283,7.6949,7.7603,7.7283,7.6666,7.6474,7.6332,7.6666,7.6692,7.6872,7.6537,7.6087,7.4632,7.4024,7.3869,7.3689,7.3534,7.3522,7.3714,7.3534,7.3677,7.418,7.418,7.4837,7.5791,7.5765,7.5585,7.6589,7.6936,7.6782,0,7.646,7.5958,7.6396,7.592,7.4992,7.5172,7.5209,7.4552,7.50355,7.5519,7.4992,7.4359,7.4155,1
7.5894,7.5405,7.5535,7.5715,7.5405,1.4176,1.4343,1.4181,1.501,1.5092,1.5174,1.5674,1.6172,1.6344,1.6511,1.7172,1.7178,1.6842,1.7342,1.8006,1.8179,1.8352,1.9016,1.9349,1.9359,1.96945,2.003,2.1032,2.2705,2.272,2.3217,2.3718,2.4708,2.5046,2.6039,2.6707,0,2.7875,2.7963,2.8051,2.8557,2.9716,3.0713,3.0718,3.1709,3.1886,3.2398,3.3233,3.4062,3.4909,2
7.5971,7.6653,7.7992,7.832,7.8648,7.9163,7.9806,8.0475,8.1493,8.138,8.1882,8.2859,8.3013,8.2719,8.3347,8.2692,8.3013,8.4142,8.4448,8.4706,8.4964,8.591,8.6397,8.612,8.6898,8.7233,8.8314,8.6993,8.7646,8.7327,8.7828,8.8223,8.8618,8.8663,8.8525,8.9482,0,8.8844,9.144,9.1031,9.1031,9.0423,9.0241,9.0089,9.1,9.0833,9.1182,9.1198,9.1228,9.1228,1
9.0924,9.1531,9.2318,9.1864,9.2667,9.2849,9.2698,9.4182,9.4365,9.4766,9.5167,9.4865,9.5032,9.4833,9.5381,9.5548,9.6016,9.573,9.4777,9.4793,9.4777,9.5246,9.4793,9.5079,9.461,9.573,9.573,9.5095,9.4532,9.5635,9.5048,9.4682,9.3291,9.3745,9.4516,9.4651,0,9.4635,9.40155,9.3396,9.3396,9.3698,9.3698,9.3562,9.3244,9.2472,9.2593,9.21985,9.1804,9.1653,1
8.8766,8.8157,8.8157,8.8019,8.913,8.9799,1.8497,2.0826,2.1493,2.2485,2.2659,2.2996,2.3171,2.4,2.41685,2.4337,2.5171,2.5504,2.6167,2.6667,2.75,2.8167,2.8185,2.8519,2.9024,2.9863,3.1182,3.0525,3.1203,3.1865,3.3194,3.3194,3.3528,3.4362,3.5023,3.6197,0,3.687,3.8192,3.9833,4.2174,4.4029,4.4719,4.5394,4.6562,4.7238,4.8406,4.899,4.9574,5.1543,1
9.0559,9.1958,9.2778,9.2778,9.284,9.3358,9.5955,9.535,9.6386,9.6386,9.6753,9.6769,9.6952,9.6715,9.8912,9.8427,9.8962,9.8844,9.9531,9.9531,10.0503,10.0503,10.1474,10.0704,10.2027,10.253,10.3483,10.38005,10.4118,10.5536,10.5906,10.639,10.7077,10.6874,10.7692,10.7059,0,10.7023,10.7209,10.566,10.4902,10.462,10.5739,10.5237,10.5888,10.6468,10.6564,10.64595,10.6355,10.6301,2
10.6749,10.5668,10.565,10.6002,10.5184,10.5906,10.5457,10.5756,10.5386,10.5607,10.5488,10.5369,10.4568,10.4118,10.5703,10.6038,10.6038,10.6355,10.5853,10.676,10.6426,10.6294,10.6557,10.7227,10.685,10.6814,10.71785,10.7543,10.7746,10.7561,10.6725,10.6611,10.676,10.6223,10.6109,10.6874,0,10.6091,10.5792,10.6575,10.5351,10.6002,10.6187,10.57865,10.5386,10.5501,10.5052,10.4999,10.3598,10.4867,1
11.0759,10.9998,11.024,10.9776,10.8198,10.8329,10.8728,2.4908,2.6404,2.7068,2.7736,2.8896,3.006,3.0733,3.1234,3.1902,3.3383,3.389,3.4558,3.4535,3.5196,3.5196,3.6185,3.7871,3.8551,3.9713,4.0214,4.1215,4.2063,4.4066,4.5053,4.5887,4.6888,4.7881,4.8223,4.9208,0,4.97085,5.0209,5.0726,5.3211,5.4685,5.5537,5.6547,5.6761,5.7763,5.8784,5.8981,5.9826,6.1143,2
11.2354,11.4357,11.5468,11.5833,11.6608,11.7128,11.7627,11.8588,11.9214,12.0213,12.1025,12.2609,12.3878,12.4106,12.4272,12.4001,12.4168,12.4168,12.373,12.425,12.3646,12.3813,12.3938,43074,12.4854,12.527,12.5458,12.5999,12.6353,12.6041,12.7018,12.6416,12.60205,12.5625,12.6104,12.5208,0,12.5063,12.4583,12.5188,12.5167,12.4917,12.5375,12.5396,12.5854,12.525,12.5417,12.5188,12.4667,12.5125,2
12.4121,12.4288,12.5042,12.4581,12.49055,12.523,12.4916,12.5293,12.5628,12.5293,12.456,12.477,12.4895,12.5356,12.5879,12.4812,12.5084,12.4456,12.4854,12.4038,12.4331,12.45295,12.4728,12.4665,12.4958,12.4791,12.5084,12.4895,12.4728,12.4875,12.3182,12.291,12.3517,12.3517,12.3642,12.337,0,12.3517,12.3495,12.3473,12.2907,12.2698,12.3723,12.3577,12.2907,12.2698,12.1841,12.2388,12.266,12.3141,2
12.4414,12.4477,12.454,12.5021,12.5105,12.6402,12.6737,12.6612,4.0234,4.1389,4.1569,4.3391,4.4559,4.572,4.60615,4.6403,4.7548,4.7897,4.889,5.0884,5.1718,5.2719,5.2922,5.4415,5.525,5.5407,5.6251,5.7262,5.7152,5.8332,5.8745,5.9158,6.015,6.0682,6.1235,6.3702,0,6.5083,6.6399,6.757,6.8706,6.9853,7.0533,7.1058,7.2062,7.3207,7.439,7.439,7.538,7.6525,2
12.6606,12.7148,12.8962,12.9565,12.9796,13.121,13,13.3811,13.4788,13.5077,13.6485,13.6318,13.6553,13.6886,13.7294,13.7483,13.76265,13.777,13.8912,13.9721,13.9314,13.9268,13.9864,13.955,13.9454,13.9717,13.95,14,13.988,13.8949,13.8949,13.9616,13.9748,13.988,13.9713,13.9973,0,14.0234,13.9376,13.9543,14.0427,14.014,13.9733,13.9636,13.9636,14.0448,14.0591,14.2213,14.2905,14.2905,2
